Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

10:41:00 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:41:01 PM  1000      1458      0.00      0.00 1591236  468140  11.59  java
10:41:02 PM  1000      1458      0.00      0.00 1591236  468140  11.59  java
10:41:03 PM  1000      1458      5.43      0.00 1591236  468296  11.59  java
10:41:04 PM  1000      1458     17.86      0.00 1591236  468296  11.59  java
10:41:05 PM  1000      1458      3.19      0.00 1591236  468364  11.59  java
10:41:06 PM  1000      1458      9.09      0.00 1591236  468364  11.59  java
10:41:07 PM  1000      1458      1.04      0.00 1591236  468364  11.59  java
10:41:08 PM  1000      1458      4.26      0.00 1591236  468364  11.59  java
10:41:09 PM  1000      1458      4.21      0.00 1591236  468364  11.59  java
10:41:10 PM  1000      1458      0.00      0.00 1591236  468364  11.59  java
10:41:11 PM  1000      1458      0.00      0.00 1591236  468364  11.59  java
10:41:12 PM  1000      1458      0.00      0.00 1591236  468364  11.59  java
10:41:13 PM  1000      1458      0.00      0.00 1591236  468364  11.59  java
10:41:14 PM  1000      1458      0.00      0.00 1591236  468364  11.59  java
10:41:15 PM  1000      1458      0.00      0.00 1591236  468364  11.59  java
Average:     1000      1458      2.80      0.00 1591236  468325  11.59  java
