Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

10:42:33 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:42:34 PM  1000      1458      0.00      0.00 1591236  468624  11.60  java
10:42:35 PM  1000      1458      0.00      0.00 1591236  468624  11.60  java
10:42:36 PM  1000      1458      5.32      0.00 1591236  468624  11.60  java
10:42:37 PM  1000      1458      6.74      0.00 1591236  468624  11.60  java
10:42:38 PM  1000      1458      0.00      0.00 1591236  468624  11.60  java
10:42:39 PM  1000      1458      2.25      0.00 1591236  468688  11.60  java
10:42:40 PM  1000      1458      0.00      0.00 1591236  468688  11.60  java
10:42:41 PM  1000      1458      3.57      0.00 1591236  468688  11.60  java
10:42:42 PM  1000      1458      6.59      0.00 1591236  468688  11.60  java
10:42:43 PM  1000      1458      5.15      0.00 1591236  468688  11.60  java
10:42:44 PM  1000      1458      0.00      0.00 1591236  468688  11.60  java
10:42:45 PM  1000      1458      0.00      0.00 1591236  468688  11.60  java
10:42:46 PM  1000      1458      0.00      0.00 1591236  468688  11.60  java
10:42:47 PM  1000      1458      0.00      0.00 1591236  468688  11.60  java
10:42:48 PM  1000      1458      0.00      0.00 1591236  468688  11.60  java
Average:     1000      1458      1.91      0.00 1591236  468667  11.60  java
