Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

10:21:55 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:21:56 PM  1000      1480      0.00      0.00 1615184  518140  12.83  java
10:21:57 PM  1000      1480      0.00      0.00 1615184  518140  12.83  java
10:21:58 PM  1000      1480     13.64      0.00 1615184  518240  12.83  java
10:21:59 PM  1000      1480     51.09      0.00 1615184  518240  12.83  java
10:22:00 PM  1000      1480     26.92      0.00 1615184  518276  12.83  java
10:22:01 PM  1000      1480      9.30      0.00 1615184  518356  12.83  java
10:22:02 PM  1000      1480      1.11      0.00 1615184  518356  12.83  java
10:22:03 PM  1000      1480     22.39      0.00 1615184  518392  12.83  java
10:22:04 PM  1000      1480      8.89      0.00 1615184  518392  12.83  java
10:22:05 PM  1000      1480      8.99      0.00 1615184  518496  12.84  java
10:22:06 PM  1000      1480     29.67      0.00 1615184  518632  12.84  java
10:22:08 PM  1000      1480     17.89      0.00 1615184  518908  12.85  java
10:22:09 PM  1000      1480      0.00      0.00 1615184  518908  12.85  java
10:22:10 PM  1000      1480      1.04      0.00 1615184  518908  12.85  java
10:22:11 PM  1000      1480      0.00      0.00 1615184  518908  12.85  java
Average:     1000      1480     12.16      0.00 1615184  518486  12.84  java
