Linux 4.15.0-124-generic (bookstore) 	02/01/2021 	_x86_64_	(1 CPU)

11:01:23 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:01:24 PM  1000      1653   46.05   11.84    0.00    0.00   57.89     0  java
11:01:25 PM  1000      1653  100.00   43.75    0.00    0.00  100.00     0  java
11:01:26 PM  1000      1653   26.58    2.53    0.00    0.00   29.11     0  java
11:01:27 PM  1000      1653   39.74    1.28    0.00    0.00   41.03     0  java
11:01:28 PM  1000      1653   66.18   11.76    0.00    0.00   77.94     0  java
11:01:29 PM  1000      1653   26.51    0.00    0.00    0.00   26.51     0  java
11:01:30 PM  1000      1653   53.42    6.85    0.00    0.00   60.27     0  java
11:01:31 PM  1000      1653  100.00    1.85    0.00    0.00  100.00     0  java
11:01:32 PM  1000      1653   72.60    8.22    0.00    0.00   80.82     0  java
11:01:33 PM  1000      1653  100.00    5.26    0.00    0.00  100.00     0  java
11:01:34 PM  1000      1653   55.84    5.19    0.00    0.00   61.04     0  java
11:01:35 PM  1000      1653  100.00    0.00    0.00    0.00  100.00     0  java
11:01:36 PM  1000      1653  100.00    1.33    0.00    0.00  100.00     0  java
11:01:37 PM  1000      1653  100.00   27.87    0.00    0.00  100.00     0  java
11:01:38 PM  1000      1653  100.00   35.09    0.00    0.00  100.00     0  java
11:01:39 PM  1000      1653  100.00   11.86    0.00    0.00  100.00     0  java
11:01:40 PM  1000      1653  100.00    7.27    0.00    0.00  100.00     0  java
11:01:41 PM  1000      1653   21.84    2.30    0.00    0.00   24.14     0  java
11:01:42 PM  1000      1653   51.47    5.88    0.00    0.00   57.35     0  java
11:01:43 PM  1000      1653   66.67    4.76    0.00    0.00   71.43     0  java
11:01:44 PM  1000      1653   15.38    0.00    0.00    0.00   15.38     0  java
11:01:45 PM  1000      1653   91.23    5.26    0.00    0.00   96.49     0  java
11:01:46 PM  1000      1653   26.25    1.25    0.00    0.00   27.50     0  java
11:01:47 PM  1000      1653   61.19    5.97    0.00    0.00   67.16     0  java
11:01:48 PM  1000      1653   84.48    5.17    0.00    0.00   89.66     0  java
11:01:49 PM  1000      1653   82.76    8.62    0.00    0.00   91.38     0  java
11:01:50 PM  1000      1653    1.05    0.00    0.00    0.00    1.05     0  java
11:01:51 PM  1000      1653   90.00    0.00    0.00    0.00   90.00     0  java
11:01:52 PM  1000      1653   35.53    0.00    0.00    0.00   35.53     0  java
11:01:53 PM  1000      1653   75.81    1.61    0.00    0.00   77.42     0  java
11:01:54 PM  1000      1653   38.16    0.00    0.00    0.00   38.16     0  java
11:01:55 PM  1000      1653   11.49    1.15    0.00    0.00   12.64     0  java
11:01:56 PM  1000      1653   28.75    1.25    0.00    0.00   30.00     0  java
11:01:57 PM  1000      1653    2.11    0.00    0.00    0.00    2.11     0  java
11:01:58 PM  1000      1653    1.05    0.00    0.00    0.00    1.05     0  java
11:01:59 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:00 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:01 PM  1000      1653    2.08    0.00    0.00    0.00    2.08     0  java
11:02:02 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:03 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:04 PM  1000      1653    1.02    0.00    0.00    0.00    1.02     0  java
11:02:05 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:06 PM  1000      1653    5.38    0.00    0.00    0.00    5.38     0  java
11:02:07 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:08 PM  1000      1653    1.03    0.00    0.00    0.00    1.03     0  java
11:02:09 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:10 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:11 PM  1000      1653    3.23    1.08    0.00    0.00    4.30     0  java
11:02:12 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
11:02:13 PM  1000      1653    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1653   37.44    3.34    0.00    0.00   40.79     -  java
