Linux 4.15.0-124-generic (bookstore) 	02/25/2021 	_x86_64_	(1 CPU)

09:44:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:44:56 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
09:44:57 PM  1000      1840  100.00   44.74    0.00    0.00  100.00     0  java
09:44:58 PM  1000      1840  100.00   26.83    0.00    0.00  100.00     0  java
09:44:59 PM  1000      1840   12.09    0.00    0.00    0.00   12.09     0  java
09:45:00 PM  1000      1840   53.62    7.25    0.00    0.00   60.87     0  java
09:45:01 PM  1000      1840   63.24    4.41    0.00    0.00   67.65     0  java
09:45:02 PM  1000      1840    7.69    1.10    0.00    0.00    8.79     0  java
09:45:03 PM  1000      1840   49.25   14.93    0.00    0.00   64.18     0  java
09:45:04 PM  1000      1840  100.00    3.45    0.00    0.00  100.00     0  java
09:45:05 PM  1000      1840   94.20    0.00    0.00    0.00   94.20     0  java
09:45:06 PM  1000      1840  100.00    0.00    0.00    0.00  100.00     0  java
09:45:07 PM  1000      1840  100.00    0.00    0.00    0.00  100.00     0  java
09:45:08 PM  1000      1840  100.00    0.00    0.00    0.00  100.00     0  java
09:45:09 PM  1000      1840  100.00    4.62    0.00    0.00  100.00     0  java
09:45:10 PM  1000      1840  100.00   24.56    0.00    0.00  100.00     0  java
09:45:11 PM  1000      1840  100.00   16.07    0.00    0.00  100.00     0  java
09:45:12 PM  1000      1840  100.00   29.17    0.00    0.00  100.00     0  java
09:45:13 PM  1000      1840   41.03    1.28    0.00    0.00   42.31     0  java
09:45:14 PM  1000      1840  100.00    6.00    0.00    0.00  100.00     0  java
09:45:15 PM  1000      1840   65.62    3.12    0.00    0.00   68.75     0  java
09:45:16 PM  1000      1840  100.00   11.76    0.00    0.00  100.00     0  java
09:45:17 PM  1000      1840   43.24    2.70    0.00    0.00   45.95     0  java
09:45:18 PM  1000      1840   31.58    2.63    0.00    0.00   34.21     0  java
09:45:19 PM  1000      1840   52.17    4.35    0.00    0.00   56.52     0  java
09:45:20 PM  1000      1840   42.47    5.48    0.00    0.00   47.95     0  java
09:45:21 PM  1000      1840    9.20    2.30    0.00    0.00   11.49     0  java
09:45:22 PM  1000      1840   40.54    4.05    0.00    0.00   44.59     0  java
09:45:23 PM  1000      1840    6.59    0.00    0.00    0.00    6.59     0  java
09:45:24 PM  1000      1840   36.84    3.95    0.00    0.00   40.79     0  java
09:45:25 PM  1000      1840    5.43    0.00    0.00    0.00    5.43     0  java
09:45:26 PM  1000      1840   41.89    1.35    0.00    0.00   43.24     0  java
09:45:27 PM  1000      1840    3.23    1.08    0.00    0.00    4.30     0  java
09:45:28 PM  1000      1840   52.86    0.00    0.00    0.00   52.86     0  java
09:45:29 PM  1000      1840    3.23    0.00    0.00    0.00    3.23     0  java
09:45:30 PM  1000      1840   30.77    1.28    0.00    0.00   32.05     0  java
09:45:31 PM  1000      1840   23.75    1.25    0.00    0.00   25.00     0  java
09:45:32 PM  1000      1840   18.29    3.66    0.00    0.00   21.95     0  java
09:45:33 PM  1000      1840   19.05    1.19    0.00    0.00   20.24     0  java
09:45:34 PM  1000      1840    4.30    0.00    0.00    0.00    4.30     0  java
09:45:35 PM  1000      1840    3.23    0.00    0.00    0.00    3.23     0  java
09:45:36 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
09:45:37 PM  1000      1840    1.03    0.00    0.00    0.00    1.03     0  java
09:45:38 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
09:45:39 PM  1000      1840    4.30    1.08    0.00    0.00    5.38     0  java
09:45:40 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
09:45:41 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
09:45:42 PM  1000      1840    1.03    0.00    0.00    0.00    1.03     0  java
09:45:43 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
09:45:44 PM  1000      1840    3.23    1.08    0.00    0.00    4.30     0  java
09:45:45 PM  1000      1840    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1840   40.82    3.38    0.00    0.00   44.21     -  java
