Linux 4.15.0-122-generic (bookstore) 	10/30/2020 	_x86_64_	(1 CPU)

10:07:49 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:07:50 PM  1000      1414      0.00      0.00 1590776  457128  11.32  java
10:07:51 PM  1000      1414      0.00      0.00 1590776  457128  11.32  java
10:07:52 PM  1000      1414     16.67      0.00 1590776  457192  11.32  java
10:07:53 PM  1000      1414   2536.11      0.00 1598712  464388  11.50  java
10:07:54 PM  1000      1414     32.58      0.00 1598712  464520  11.50  java
10:07:55 PM  1000      1414     51.19      0.00 1588000  454872  11.26  java
10:07:56 PM  1000      1414     27.91      0.00 1588000  455000  11.26  java
10:07:57 PM  1000      1414     40.00      0.00 1588000  455180  11.27  java
10:07:58 PM  1000      1414     16.47      0.00 1588000  455180  11.27  java
10:07:59 PM  1000      1414     15.56      0.00 1588000  455228  11.27  java
10:08:00 PM  1000      1414      0.00      0.00 1588000  455228  11.27  java
10:08:01 PM  1000      1414      0.00      0.00 1588000  455228  11.27  java
10:08:02 PM  1000      1414      0.00      0.00 1588000  455228  11.27  java
10:08:03 PM  1000      1414      0.00      0.00 1588000  455228  11.27  java
10:08:04 PM  1000      1414      0.00      0.00 1588000  455228  11.27  java
Average:     1000      1414    146.87      0.00 1589983  456797  11.31  java
