Linux 4.15.0-124-generic (bookstore) 	01/26/2021 	_x86_64_	(1 CPU)

11:42:08 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:42:09 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:10 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:11 PM  1000      1760    8.51    2.13    0.00    0.00   10.64     0  java
11:42:12 PM  1000      1760  100.00   36.67    0.00    0.00  100.00     0  java
11:42:13 PM  1000      1760   31.58    3.95    0.00    0.00   35.53     0  java
11:42:14 PM  1000      1760    1.06    0.00    0.00    0.00    1.06     0  java
11:42:15 PM  1000      1760   25.93    2.47    0.00    0.00   28.40     0  java
11:42:16 PM  1000      1760   60.00   12.31    0.00    0.00   72.31     0  java
11:42:17 PM  1000      1760   15.91    4.55    0.00    0.00   20.45     0  java
11:42:18 PM  1000      1760   21.43    0.00    0.00    0.00   21.43     0  java
11:42:19 PM  1000      1760   29.76    0.00    0.00    0.00   29.76     0  java
11:42:20 PM  1000      1760   24.14    0.00    0.00    0.00   24.14     0  java
11:42:21 PM  1000      1760   34.15    0.00    0.00    0.00   34.15     0  java
11:42:22 PM  1000      1760   30.95    0.00    0.00    0.00   30.95     0  java
11:42:23 PM  1000      1760   32.53    0.00    0.00    0.00   32.53     0  java
11:42:24 PM  1000      1760   12.22    0.00    0.00    0.00   12.22     0  java
11:42:25 PM  1000      1760  100.00    0.00    0.00    0.00  100.00     0  java
11:42:26 PM  1000      1760   32.10    0.00    0.00    0.00   32.10     0  java
11:42:27 PM  1000      1760  100.00    1.82    0.00    0.00  100.00     0  java
11:42:28 PM  1000      1760   47.14    0.00    0.00    0.00   47.14     0  java
11:42:29 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:30 PM  1000      1760    1.03    0.00    0.00    0.00    1.03     0  java
11:42:31 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:32 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:33 PM  1000      1760    2.13    0.00    0.00    0.00    2.13     0  java
11:42:34 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:35 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:36 PM  1000      1760    0.00    0.00    0.00    0.00    0.00     0  java
11:42:37 PM  1000      1760    1.04    0.00    0.00    0.00    1.04     0  java
11:42:38 PM  1000      1760    2.13    0.00    0.00    0.00    2.13     0  java
Average:     1000      1760   21.22    1.24    0.00    0.00   22.46     -  java
