Linux 4.15.0-124-generic (bookstore) 	02/11/2021 	_x86_64_	(1 CPU)

10:39:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:39:21 PM  1000      1754   12.22    0.00    0.00    0.00   12.22     0  java
10:39:22 PM  1000      1754  100.00   27.27    0.00    0.00  100.00     0  java
10:39:23 PM  1000      1754   65.71    0.00    0.00    0.00   65.71     0  java
10:39:24 PM  1000      1754   18.18    1.14    0.00    0.00   19.32     0  java
10:39:25 PM  1000      1754   60.32   17.46    0.00    0.00   77.78     0  java
10:39:26 PM  1000      1754   30.14    4.11    0.00    0.00   34.25     0  java
10:39:27 PM  1000      1754   15.56    2.22    0.00    0.00   17.78     0  java
10:39:28 PM  1000      1754   28.74    2.30    0.00    0.00   31.03     0  java
10:39:29 PM  1000      1754   24.47    0.00    0.00    0.00   24.47     0  java
10:39:30 PM  1000      1754   30.95    0.00    0.00    0.00   30.95     0  java
10:39:31 PM  1000      1754   41.46    0.00    0.00    0.00   41.46     0  java
10:39:32 PM  1000      1754   48.68    0.00    0.00    0.00   48.68     0  java
10:39:33 PM  1000      1754   45.95    1.35    0.00    0.00   47.30     0  java
10:39:34 PM  1000      1754  100.00   10.87    0.00    0.00  100.00     0  java
10:39:35 PM  1000      1754   76.67    6.67    0.00    0.00   83.33     0  java
10:39:36 PM  1000      1754   68.75    3.12    0.00    0.00   71.88     0  java
10:39:37 PM  1000      1754   56.52    1.45    0.00    0.00   57.97     0  java
10:39:38 PM  1000      1754    4.26    1.06    0.00    0.00    5.32     0  java
10:39:39 PM  1000      1754    0.00    0.00    0.00    0.00    0.00     0  java
10:39:40 PM  1000      1754    1.02    0.00    0.00    0.00    1.02     0  java
10:39:41 PM  1000      1754    1.05    0.00    0.00    0.00    1.05     0  java
10:39:42 PM  1000      1754    1.03    0.00    0.00    0.00    1.03     0  java
10:39:43 PM  1000      1754    0.00    0.00    0.00    0.00    0.00     0  java
10:39:44 PM  1000      1754    0.00    0.00    0.00    0.00    0.00     0  java
10:39:45 PM  1000      1754    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1754   30.27    2.09    0.00    0.00   32.36     -  java
