Linux 4.15.0-124-generic (bookstore) 	03/06/2021 	_x86_64_	(1 CPU)

04:31:56 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:31:57 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:31:58 PM  1000      1759   33.33    6.41    0.00    0.00   39.74     0  java
04:31:59 PM  1000      1759  100.00    8.11    0.00    0.00  100.00     0  java
04:32:00 PM  1000      1759   17.44    1.16    0.00    0.00   18.60     0  java
04:32:01 PM  1000      1759   14.29    0.00    0.00    0.00   14.29     0  java
04:32:02 PM  1000      1759   70.31    9.38    0.00    0.00   79.69     0  java
04:32:03 PM  1000      1759    6.32    0.00    0.00    0.00    6.32     0  java
04:32:04 PM  1000      1759   89.29   21.43    0.00    0.00  100.00     0  java
04:32:05 PM  1000      1759   36.25    0.00    0.00    0.00   36.25     0  java
04:32:06 PM  1000      1759   29.63    2.47    0.00    0.00   32.10     0  java
04:32:07 PM  1000      1759   53.03   16.67    0.00    0.00   69.70     0  java
04:32:08 PM  1000      1759  100.00   32.08    0.00    0.00  100.00     0  java
04:32:09 PM  1000      1759  100.00    4.48    0.00    0.00  100.00     0  java
04:32:10 PM  1000      1759  100.00   22.64    0.00    0.00  100.00     0  java
04:32:11 PM  1000      1759  100.00    8.47    0.00    0.00  100.00     0  java
04:32:12 PM  1000      1759  100.00    0.00    0.00    0.00  100.00     0  java
04:32:13 PM  1000      1759  100.00    0.00    0.00    0.00  100.00     0  java
04:32:14 PM  1000      1759  100.00    0.00    0.00    0.00  100.00     0  java
04:32:15 PM  1000      1759  100.00    3.12    0.00    0.00  100.00     0  java
04:32:16 PM  1000      1759  100.00    7.94    0.00    0.00  100.00     0  java
04:32:17 PM  1000      1759  100.00    1.82    0.00    0.00  100.00     0  java
04:32:18 PM  1000      1759    4.21    1.05    0.00    0.00    5.26     0  java
04:32:19 PM  1000      1759  100.00   11.54    0.00    0.00  100.00     0  java
04:32:20 PM  1000      1759   24.71    0.00    0.00    0.00   24.71     0  java
04:32:21 PM  1000      1759   60.00    9.23    0.00    0.00   69.23     0  java
04:32:22 PM  1000      1759   17.44    0.00    0.00    0.00   17.44     0  java
04:32:23 PM  1000      1759   50.00    7.14    0.00    0.00   57.14     0  java
04:32:24 PM  1000      1759   11.63    2.33    0.00    0.00   13.95     0  java
04:32:25 PM  1000      1759   49.28    4.35    0.00    0.00   53.62     0  java
04:32:26 PM  1000      1759   13.48    0.00    0.00    0.00   13.48     0  java
04:32:27 PM  1000      1759   48.57    5.71    0.00    0.00   54.29     0  java
04:32:28 PM  1000      1759   20.48    1.20    0.00    0.00   21.69     0  java
04:32:29 PM  1000      1759   11.24    1.12    0.00    0.00   12.36     0  java
04:32:30 PM  1000      1759   75.00   10.00    0.00    0.00   85.00     0  java
04:32:31 PM  1000      1759   10.23    2.27    0.00    0.00   12.50     0  java
04:32:32 PM  1000      1759   66.10   18.64    0.00    0.00   84.75     0  java
04:32:33 PM  1000      1759   70.00    1.67    0.00    0.00   71.67     0  java
04:32:34 PM  1000      1759   15.79    3.95    0.00    0.00   19.74     0  java
04:32:35 PM  1000      1759   65.08    6.35    0.00    0.00   71.43     0  java
04:32:36 PM  1000      1759   14.29    0.00    0.00    0.00   14.29     0  java
04:32:37 PM  1000      1759   40.00    4.00    0.00    0.00   44.00     0  java
04:32:38 PM  1000      1759   15.73    0.00    0.00    0.00   15.73     0  java
04:32:39 PM  1000      1759   25.32    2.53    0.00    0.00   27.85     0  java
04:32:40 PM  1000      1759    5.38    1.08    0.00    0.00    6.45     0  java
04:32:41 PM  1000      1759   37.50    8.33    0.00    0.00   45.83     0  java
04:32:42 PM  1000      1759    3.12    3.12    0.00    0.00    6.25     0  java
04:32:43 PM  1000      1759   35.14    2.70    0.00    0.00   37.84     0  java
04:32:44 PM  1000      1759    1.05    0.00    0.00    0.00    1.05     0  java
04:32:45 PM  1000      1759   81.67    3.33    0.00    0.00   85.00     0  java
04:32:46 PM  1000      1759    2.13    5.32    0.00    0.00    7.45     0  java
04:32:47 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:32:48 PM  1000      1759    1.03    0.00    0.00    0.00    1.03     0  java
04:32:49 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:32:50 PM  1000      1759    1.04    0.00    0.00    0.00    1.04     0  java
04:32:51 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:32:52 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:32:53 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:32:54 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
04:32:55 PM  1000      1759    1.08    1.08    0.00    0.00    2.15     0  java
04:32:56 PM  1000      1759    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1759   38.94    3.58    0.00    0.00   42.52     -  java
