Linux 4.15.0-124-generic (bookstore) 	03/06/2021 	_x86_64_	(1 CPU)

04:45:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:40 PM  1000      1741    1.03    0.00    0.00    0.00    1.03     0  java
04:45:41 PM  1000      1741    0.00    1.02    0.00    0.00    1.02     0  java
04:45:42 PM  1000      1741  100.00   14.29    0.00    0.00  100.00     0  java
04:45:43 PM  1000      1741  100.00   12.00    0.00    0.00  100.00     0  java
04:45:44 PM  1000      1741   32.89    9.21    0.00    0.00   42.11     0  java
04:45:45 PM  1000      1741   53.62    2.90    0.00    0.00   56.52     0  java
04:45:46 PM  1000      1741   39.74    6.41    0.00    0.00   46.15     0  java
04:45:47 PM  1000      1741   53.62    7.25    0.00    0.00   60.87     0  java
04:45:48 PM  1000      1741   37.18    1.28    0.00    0.00   38.46     0  java
04:45:49 PM  1000      1741   42.11    6.58    0.00    0.00   48.68     0  java
04:45:50 PM  1000      1741  100.00   19.61    0.00    0.00  100.00     0  java
04:45:51 PM  1000      1741  100.00    0.00    0.00    0.00  100.00     0  java
04:45:52 PM  1000      1741  100.00    8.16    0.00    0.00  100.00     0  java
04:45:53 PM  1000      1741  100.00    0.00    0.00    0.00  100.00     0  java
04:45:54 PM  1000      1741  100.00   11.59    0.00    0.00  100.00     0  java
04:45:55 PM  1000      1741  100.00    6.56    0.00    0.00  100.00     0  java
04:45:56 PM  1000      1741  100.00    0.00    0.00    0.00  100.00     0  java
04:45:57 PM  1000      1741  100.00    0.00    0.00    0.00  100.00     0  java
04:45:58 PM  1000      1741  100.00    0.00    0.00    0.00  100.00     0  java
04:45:59 PM  1000      1741   11.96    0.00    0.00    0.00   11.96     0  java
04:46:00 PM  1000      1741   41.33    0.00    0.00    0.00   41.33     0  java
04:46:01 PM  1000      1741   88.14    0.00    0.00    0.00   88.14     0  java
04:46:02 PM  1000      1741   41.10   10.96    0.00    0.00   52.05     0  java
04:46:03 PM  1000      1741   23.81    0.00    0.00    0.00   23.81     0  java
04:46:04 PM  1000      1741   26.92    6.41    0.00    0.00   33.33     0  java
04:46:05 PM  1000      1741   62.12    3.03    0.00    0.00   65.15     0  java
04:46:06 PM  1000      1741    2.11    0.00    0.00    0.00    2.11     0  java
04:46:07 PM  1000      1741   50.70    2.82    0.00    0.00   53.52     0  java
04:46:08 PM  1000      1741   23.46    8.64    0.00    0.00   32.10     0  java
04:46:09 PM  1000      1741   21.43    1.19    0.00    0.00   22.62     0  java
04:46:10 PM  1000      1741   10.00    2.22    0.00    0.00   12.22     0  java
04:46:11 PM  1000      1741   28.57    0.00    0.00    0.00   28.57     0  java
04:46:12 PM  1000      1741   59.09    4.55    0.00    0.00   63.64     0  java
04:46:13 PM  1000      1741    4.35    0.00    0.00    0.00    4.35     0  java
04:46:14 PM  1000      1741   81.36   13.56    0.00    0.00   94.92     0  java
04:46:15 PM  1000      1741   44.29    5.71    0.00    0.00   50.00     0  java
04:46:16 PM  1000      1741    9.09    0.00    0.00    0.00    9.09     0  java
04:46:17 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:18 PM  1000      1741   51.61    1.61    0.00    0.00   53.23     0  java
04:46:19 PM  1000      1741    1.14    1.14    0.00    0.00    2.27     0  java
04:46:20 PM  1000      1741   10.23    3.41    0.00    0.00   13.64     0  java
04:46:21 PM  1000      1741   15.48    2.38    0.00    0.00   17.86     0  java
04:46:22 PM  1000      1741   35.62    5.48    0.00    0.00   41.10     0  java
04:46:23 PM  1000      1741   18.82    2.35    0.00    0.00   21.18     0  java
04:46:24 PM  1000      1741    6.74    0.00    0.00    0.00    6.74     0  java
04:46:26 PM  1000      1741   16.47    1.18    0.00    0.00   17.65     0  java
04:46:27 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:28 PM  1000      1741    4.21    1.05    0.00    0.00    5.26     0  java
04:46:29 PM  1000      1741   53.85   10.77    0.00    0.00   64.62     0  java
04:46:30 PM  1000      1741   18.82    1.18    0.00    0.00   20.00     0  java
04:46:30 PM  1000      1741   12.64    4.60    0.00    0.00   17.24     0  java
04:46:31 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:33 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:34 PM  1000      1741    5.38    0.00    0.00    0.00    5.38     0  java
04:46:35 PM  1000      1741    1.03    0.00    0.00    0.00    1.03     0  java
04:46:36 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:37 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:38 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
04:46:39 PM  1000      1741    5.32    0.00    0.00    0.00    5.32     0  java
04:46:40 PM  1000      1741    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1741   37.17    2.83    0.00    0.00   40.00     -  java
