Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

06:59:34 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
06:59:35 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:36 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:37 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:38 PM    dev8-0      2,00      0,00     32,00      0,00     16,00      0,00      0,50      0,40
06:59:39 PM    dev8-0      1,00      0,00     92,00      0,00     92,00      0,00      1,00      0,40
06:59:40 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,04     36,00      0,40
06:59:41 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:42 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:43 PM    dev8-0     24,00      0,00    108,00      0,00      4,50      0,00      1,54      0,80
06:59:44 PM    dev8-0      1,00      0,00     44,00      0,00     44,00      0,00      1,00      0,40
06:59:45 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,03     29,00      0,40
06:59:46 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:47 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:48 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:59:49 PM    dev8-0      1,00      0,00     28,00      0,00     28,00      0,00      1,00      0,40
Average:       dev8-0      2,07      0,00     20,79      0,00     10,06      0,00      3,42      0,21
