Linux 4.15.0-124-generic (bookstore) 	12/08/2020 	_x86_64_	(1 CPU)

10:10:13 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:10:14 PM  1000      1938      0.00      0.00 1600108  472880  11.71  java
10:10:15 PM  1000      1938      0.00      0.00 1600108  472880  11.71  java
10:10:16 PM  1000      1938     17.24      0.00 1600108  472880  11.71  java
10:10:17 PM  1000      1938      0.00      0.00 1600108  472880  11.71  java
10:10:18 PM  1000      1938      0.00      0.00 1600108  472880  11.71  java
10:10:19 PM  1000      1938      3.19      0.00 1600108  472968  11.71  java
10:10:20 PM  1000      1938      0.00      0.00 1600108  472968  11.71  java
10:10:21 PM  1000      1938      9.52      0.00 1600108  472968  11.71  java
10:10:22 PM  1000      1938      2.13      0.00 1600108  472968  11.71  java
10:10:23 PM  1000      1938      0.00      0.00 1600108  472968  11.71  java
10:10:24 PM  1000      1938      5.56      0.00 1600108  472968  11.71  java
10:10:25 PM  1000      1938      3.26      0.00 1600108  472968  11.71  java
10:10:26 PM  1000      1938      0.00      0.00 1600108  472968  11.71  java
10:10:27 PM  1000      1938      3.30      0.00 1600108  472968  11.71  java
10:10:28 PM  1000      1938     36.62      0.00 1600108  473080  11.71  java
10:10:29 PM  1000      1938      1.02      0.00 1600108  473080  11.71  java
10:10:30 PM  1000      1938     22.73      0.00 1600108  473152  11.71  java
10:10:31 PM  1000      1938      2.78      0.00 1600108  473152  11.71  java
10:10:32 PM  1000      1938     49.32      0.00 1600108  473300  11.72  java
10:10:33 PM  1000      1938      2.13      0.00 1600108  473300  11.72  java
10:10:34 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:35 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:36 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:37 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:38 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:39 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:40 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:41 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:42 PM  1000      1938      3.12      0.00 1600108  473300  11.72  java
10:10:43 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:44 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:45 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:46 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:47 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:48 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:49 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:50 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:51 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:52 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
10:10:53 PM  1000      1938      0.00      0.00 1600108  473300  11.72  java
Average:     1000      1938      3.52      0.00 1600108  473154  11.71  java
