Linux 4.15.0-124-generic (bookstore) 	01/26/2021 	_x86_64_	(1 CPU)

11:42:08 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:42:09 PM  1000      1760      1.04      0.00 1581456  410944  10.17  java
11:42:10 PM  1000      1760      0.00      0.00 1581456  410944  10.17  java
11:42:11 PM  1000      1760    532.98      0.00 1581456  411504  10.19  java
11:42:12 PM  1000      1760  11846.67      0.00 1587600  425228  10.53  java
11:42:13 PM  1000      1760    125.00      0.00 1587600  425828  10.54  java
11:42:14 PM  1000      1760      0.00      0.00 1587600  425828  10.54  java
11:42:15 PM  1000      1760    283.95      0.00 1589648  426516  10.56  java
11:42:16 PM  1000      1760   2052.31      0.00 1593744  432292  10.70  java
11:42:17 PM  1000      1760     92.05      0.00 1593744  432532  10.71  java
11:42:18 PM  1000      1760    105.95      0.00 1593744  432852  10.72  java
11:42:19 PM  1000      1760     96.43      0.00 1593744  433040  10.72  java
11:42:20 PM  1000      1760    118.39      0.00 1593744  433508  10.73  java
11:42:21 PM  1000      1760   2239.02      0.00 1593744  440608  10.91  java
11:42:22 PM  1000      1760    129.76      0.00 1593744  441036  10.92  java
11:42:23 PM  1000      1760     67.47      0.00 1593744  441212  10.92  java
11:42:24 PM  1000      1760     43.33      0.00 1593744  441500  10.93  java
11:42:25 PM  1000      1760    569.39      2.04 1595792  442508  10.95  java
11:42:26 PM  1000      1760    162.96      0.00 1595792  443432  10.98  java
11:42:27 PM  1000      1760    372.73      0.00 1595792  444248  11.00  java
11:42:28 PM  1000      1760    202.86      0.00 1595792  444736  11.01  java
11:42:29 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:30 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:31 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:32 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:33 PM  1000      1760      1.06      0.00 1595792  444736  11.01  java
11:42:34 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:35 PM  1000      1760      2.08      0.00 1595792  444736  11.01  java
11:42:36 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:37 PM  1000      1760      0.00      0.00 1595792  444736  11.01  java
11:42:38 PM  1000      1760     11.58      0.00 1595792  444736  11.01  java
Average:     1000      1760    354.25      0.04 1592720  436255  10.80  java
