Linux 4.15.0-124-generic (bookstore) 	12/08/2020 	_x86_64_	(1 CPU)

10:14:13 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:14:14 PM  1000      1938      0.00      0.00 1600340  474912  11.76  java
10:14:15 PM  1000      1938      0.00      0.00 1600340  474912  11.76  java
10:14:16 PM  1000      1938      0.00      0.00 1600340  474912  11.76  java
10:14:17 PM  1000      1938      0.00      0.00 1600340  474912  11.76  java
10:14:18 PM  1000      1938     16.22      0.00 1600340  474968  11.76  java
10:14:19 PM  1000      1938      0.00      0.00 1600340  474968  11.76  java
10:14:20 PM  1000      1938      0.00      0.00 1600340  474968  11.76  java
10:14:21 PM  1000      1938      1.09      0.00 1600340  474968  11.76  java
10:14:22 PM  1000      1938      0.00      0.00 1600340  474968  11.76  java
10:14:23 PM  1000      1938      3.37      0.00 1600340  474968  11.76  java
10:14:24 PM  1000      1938     20.00      0.00 1600340  475028  11.76  java
10:14:25 PM  1000      1938      0.00      0.00 1600340  475028  11.76  java
10:14:26 PM  1000      1938      2.22      0.00 1600340  475028  11.76  java
10:14:27 PM  1000      1938      5.81      0.00 1600340  475028  11.76  java
10:14:28 PM  1000      1938      6.02      0.00 1600340  475120  11.76  java
10:14:29 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:30 PM  1000      1938      4.30      0.00 1600340  475120  11.76  java
10:14:31 PM  1000      1938     31.17      0.00 1600340  475120  11.76  java
10:14:32 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:33 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:34 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:35 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:36 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:37 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:38 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:39 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:40 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:41 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:42 PM  1000      1938      2.13      0.00 1600340  475120  11.76  java
10:14:43 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:44 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:45 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:46 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:47 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:48 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:49 PM  1000      1938      1.05      0.00 1600340  475120  11.76  java
10:14:50 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:51 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:52 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
10:14:53 PM  1000      1938      0.00      0.00 1600340  475120  11.76  java
Average:     1000      1938      2.01      0.00 1600340  475067  11.76  java
