Linux 4.15.0-124-generic (bookstore) 	02/22/2021 	_x86_64_	(1 CPU)

11:12:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:12:46 PM  1000      1726    0.00    0.00    0.00    0.00    0.00     0  java
11:12:47 PM  1000      1726   75.41   14.75    0.00    0.00   90.16     0  java
11:12:48 PM  1000      1726  100.00   17.07    0.00    0.00  100.00     0  java
11:12:49 PM  1000      1726   50.00    0.00    0.00    0.00   50.00     0  java
11:12:50 PM  1000      1726   11.24    0.00    0.00    0.00   11.24     0  java
11:12:51 PM  1000      1726   61.19    5.97    0.00    0.00   67.16     0  java
11:12:52 PM  1000      1726   22.35    2.35    0.00    0.00   24.71     0  java
11:12:53 PM  1000      1726   64.06    3.12    0.00    0.00   67.19     0  java
11:12:54 PM  1000      1726   38.27    3.70    0.00    0.00   41.98     0  java
11:12:55 PM  1000      1726   77.46    0.00    0.00    0.00   77.46     0  java
11:12:56 PM  1000      1726   87.14    0.00    0.00    0.00   87.14     0  java
11:12:57 PM  1000      1726   69.86    0.00    0.00    0.00   69.86     0  java
11:12:58 PM  1000      1726   96.97    0.00    0.00    0.00   96.97     0  java
11:12:59 PM  1000      1726   76.39    0.00    0.00    0.00   76.39     0  java
11:13:00 PM  1000      1726   68.49    0.00    0.00    0.00   68.49     0  java
11:13:01 PM  1000      1726   62.82    0.00    0.00    0.00   62.82     0  java
11:13:02 PM  1000      1726   82.26    0.00    0.00    0.00   82.26     0  java
11:13:03 PM  1000      1726   41.03    0.00    0.00    0.00   41.03     0  java
11:13:04 PM  1000      1726  100.00    0.00    0.00    0.00  100.00     0  java
11:13:05 PM  1000      1726   28.05    0.00    0.00    0.00   28.05     0  java
11:13:06 PM  1000      1726   48.57    0.00    0.00    0.00   48.57     0  java
11:13:07 PM  1000      1726   53.62    4.35    0.00    0.00   57.97     0  java
11:13:08 PM  1000      1726   37.84    4.05    0.00    0.00   41.89     0  java
11:13:09 PM  1000      1726   10.11    2.25    0.00    0.00   12.36     0  java
11:13:10 PM  1000      1726   73.77    6.56    0.00    0.00   80.33     0  java
11:13:11 PM  1000      1726    5.26    0.00    0.00    0.00    5.26     0  java
11:13:12 PM  1000      1726   44.44    1.39    0.00    0.00   45.83     0  java
11:13:13 PM  1000      1726   17.05    0.00    0.00    0.00   17.05     0  java
11:13:14 PM  1000      1726   50.75    1.49    0.00    0.00   52.24     0  java
11:13:15 PM  1000      1726   17.44    2.33    0.00    0.00   19.77     0  java
11:13:16 PM  1000      1726   21.18    0.00    0.00    0.00   21.18     0  java
11:13:17 PM  1000      1726    2.08    1.04    0.00    0.00    3.12     0  java
11:13:18 PM  1000      1726    0.00    0.00    0.00    0.00    0.00     0  java
11:13:19 PM  1000      1726    2.13    0.00    0.00    0.00    2.13     0  java
11:13:20 PM  1000      1726    2.11    0.00    0.00    0.00    2.11     0  java
Average:     1000      1726   42.12    1.64    0.00    0.00   43.76     -  java
