Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

09:07:15 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:07:16 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:17 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:18 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:19 PM    dev8-0      3,00      0,00     28,00      0,00      9,33      0,00      0,67      0,40
09:07:20 PM    dev8-0      1,00      0,00     84,00      0,00     84,00      0,00      2,00      0,40
09:07:21 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,35    353,00      0,40
09:07:22 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:23 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:24 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:25 PM    dev8-0      1,00      0,00     32,00      0,00     32,00      0,00      1,00      0,40
09:07:26 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,03     28,00      0,40
09:07:27 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:28 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:29 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:07:30 PM    dev8-0      1,00      0,00     28,00      0,00     28,00      0,00      0,00      0,40
Average:       dev8-0      0,53      0,00     12,00      0,00     22,50      0,03     48,25      0,16
