Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

09:11:07 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:11:08 PM    dev8-0      0,99      0,00     75,25      0,00     76,00      0,00      1,00      0,40
09:11:09 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,03     32,00      0,40
09:11:10 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:11 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:12 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:13 PM    dev8-0      1,00      0,00     36,00      0,00     36,00      0,00      1,00      0,40
09:11:14 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,04     47,00      0,40
09:11:15 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:16 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:17 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:18 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,40
09:11:19 PM    dev8-0      2,00      0,00     28,00      0,00     14,00      0,04     18,50      0,40
09:11:20 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:21 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:22 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
Average:       dev8-0      0,40      0,00      9,86      0,00     24,67      0,01     19,67      0,16
