Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

09:55:03 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:55:04 PM  1000      1617      0.00      0.00 1609952  520668  12.89  java
09:55:05 PM  1000      1617      0.00      0.00 1609952  520668  12.89  java
09:55:06 PM  1000      1617     20.65      0.00 1609952  520764  12.89  java
09:55:07 PM  1000      1617     28.05      0.00 1609952  520848  12.89  java
09:55:08 PM  1000      1617      2.13      0.00 1609952  520848  12.89  java
09:55:09 PM  1000      1617      3.19      0.00 1609952  520848  12.89  java
09:55:10 PM  1000      1617      7.45      0.00 1609952  520924  12.90  java
09:55:11 PM  1000      1617      1.09      0.00 1609952  520924  12.90  java
09:55:12 PM  1000      1617      5.38      0.00 1609952  521000  12.90  java
09:55:13 PM  1000      1617     10.31      0.00 1609952  521000  12.90  java
09:55:14 PM  1000      1617      5.32      0.00 1609952  521000  12.90  java
09:55:15 PM  1000      1617      2.15      0.00 1609952  521000  12.90  java
09:55:16 PM  1000      1617     27.94      0.00 1609952  521044  12.90  java
09:55:17 PM  1000      1617      0.00      0.00 1609952  521044  12.90  java
09:55:18 PM  1000      1617      0.00      0.00 1609952  521044  12.90  java
Average:     1000      1617      6.92      0.00 1609952  520908  12.90  java
