Linux 4.15.0-124-generic (bookstore) 	02/12/2021 	_x86_64_	(1 CPU)

09:01:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:01:22 PM  1000      1739    1.04    0.00    0.00    0.00    1.04     0  java
09:01:23 PM  1000      1739   91.23   10.53    0.00    0.00  100.00     0  java
09:01:24 PM  1000      1739  100.00   31.58    0.00    0.00  100.00     0  java
09:01:25 PM  1000      1739    2.13    0.00    0.00    0.00    2.13     0  java
09:01:26 PM  1000      1739    6.90    2.30    0.00    0.00    9.20     0  java
09:01:27 PM  1000      1739   43.06    9.72    0.00    0.00   52.78     0  java
09:01:28 PM  1000      1739   27.50    5.00    0.00    0.00   32.50     0  java
09:01:29 PM  1000      1739   48.57   17.14    0.00    0.00   65.71     0  java
09:01:30 PM  1000      1739   54.79    0.00    0.00    0.00   54.79     0  java
09:01:31 PM  1000      1739   98.36    0.00    0.00    0.00   98.36     0  java
09:01:32 PM  1000      1739   64.00    0.00    0.00    0.00   64.00     0  java
09:01:33 PM  1000      1739   44.71    0.00    0.00    0.00   44.71     0  java
09:01:34 PM  1000      1739   44.30    5.06    0.00    0.00   49.37     0  java
09:01:35 PM  1000      1739   49.35    2.60    0.00    0.00   51.95     0  java
09:01:36 PM  1000      1739   53.95    0.00    0.00    0.00   53.95     0  java
09:01:37 PM  1000      1739   43.90    3.66    0.00    0.00   47.56     0  java
09:01:38 PM  1000      1739   94.74    0.00    0.00    0.00   94.74     0  java
09:01:39 PM  1000      1739    5.49    2.20    0.00    0.00    7.69     0  java
09:01:40 PM  1000      1739  100.00   18.00    0.00    0.00  100.00     0  java
09:01:41 PM  1000      1739    7.45    2.13    0.00    0.00    9.57     0  java
09:01:42 PM  1000      1739   64.06    4.69    0.00    0.00   68.75     0  java
09:01:43 PM  1000      1739   25.58    0.00    0.00    0.00   25.58     0  java
09:01:44 PM  1000      1739  100.00   16.67    0.00    0.00  100.00     0  java
09:01:45 PM  1000      1739   29.63    0.00    0.00    0.00   29.63     0  java
09:01:46 PM  1000      1739   33.33    1.33    0.00    0.00   34.67     0  java
Average:     1000      1739   45.67    4.17    0.00    0.00   49.84     -  java
