Linux 4.15.0-124-generic (bookstore) 	12/08/2020 	_x86_64_	(1 CPU)

10:58:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:58:36 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:58:37 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:58:38 PM  1000      1953    8.79    2.20    0.00    0.00   10.99     0  java
10:58:39 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:58:40 PM  1000      1953    2.06    0.00    0.00    0.00    2.06     0  java
10:58:41 PM  1000      1953    7.69    0.00    0.00    0.00    7.69     0  java
10:58:42 PM  1000      1953   10.99    0.00    0.00    0.00   10.99     0  java
10:58:43 PM  1000      1953   12.90    0.00    0.00    0.00   12.90     0  java
10:58:44 PM  1000      1953   21.59    0.00    0.00    0.00   21.59     0  java
10:58:45 PM  1000      1953   15.56    0.00    0.00    0.00   15.56     0  java
10:58:46 PM  1000      1953   16.48    0.00    0.00    0.00   16.48     0  java
10:58:47 PM  1000      1953   18.28    0.00    0.00    0.00   18.28     0  java
10:58:48 PM  1000      1953   25.29    2.30    0.00    0.00   27.59     0  java
10:58:49 PM  1000      1953   20.45    0.00    0.00    0.00   20.45     0  java
10:58:50 PM  1000      1953   10.11    0.00    0.00    0.00   10.11     0  java
10:58:51 PM  1000      1953    3.26    0.00    0.00    0.00    3.26     0  java
10:58:52 PM  1000      1953   19.05    0.00    0.00    0.00   19.05     0  java
10:58:53 PM  1000      1953    1.04    1.04    0.00    0.00    2.08     0  java
10:58:54 PM  1000      1953   15.91    0.00    0.00    0.00   15.91     0  java
10:58:55 PM  1000      1953    5.38    0.00    0.00    0.00    5.38     0  java
10:58:56 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:58:57 PM  1000      1953    4.30    0.00    0.00    0.00    4.30     0  java
10:58:58 PM  1000      1953   17.65    0.00    0.00    0.00   17.65     0  java
10:58:59 PM  1000      1953    2.13    0.00    0.00    0.00    2.13     0  java
10:59:00 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:59:01 PM  1000      1953    8.99    0.00    0.00    0.00    8.99     0  java
10:59:02 PM  1000      1953    6.74    2.25    0.00    0.00    8.99     0  java
10:59:03 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:59:04 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:59:05 PM  1000      1953    1.06    1.06    0.00    0.00    2.13     0  java
10:59:06 PM  1000      1953    6.67    1.11    0.00    0.00    7.78     0  java
10:59:07 PM  1000      1953    6.52    1.09    0.00    0.00    7.61     0  java
10:59:08 PM  1000      1953    1.06    1.06    0.00    0.00    2.13     0  java
10:59:09 PM  1000      1953    4.30    3.23    0.00    0.00    7.53     0  java
10:59:10 PM  1000      1953    4.30    0.00    0.00    0.00    4.30     0  java
10:59:11 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:59:12 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:59:13 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:59:14 PM  1000      1953    1.05    0.00    0.00    0.00    1.05     0  java
10:59:15 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1953    6.74    0.38    0.00    0.00    7.12     -  java
