Linux 4.15.0-124-generic (bookstore) 	12/08/2020 	_x86_64_	(1 CPU)

10:47:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:47:36 PM  1000      1953    1.02    0.00    0.00    0.00    1.02     0  java
10:47:37 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:47:38 PM  1000      1953    5.49    2.20    0.00    0.00    7.69     0  java
10:47:39 PM  1000      1953    1.05    0.00    0.00    0.00    1.05     0  java
10:47:40 PM  1000      1953    1.05    0.00    0.00    0.00    1.05     0  java
10:47:41 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:47:42 PM  1000      1953   24.39    1.22    0.00    0.00   25.61     0  java
10:47:43 PM  1000      1953   11.70    0.00    0.00    0.00   11.70     0  java
10:47:44 PM  1000      1953   22.47    0.00    0.00    0.00   22.47     0  java
10:47:45 PM  1000      1953   57.33    0.00    0.00    0.00   57.33     0  java
10:47:46 PM  1000      1953   32.94    1.18    0.00    0.00   34.12     0  java
10:47:47 PM  1000      1953   16.48    3.30    0.00    0.00   19.78     0  java
10:47:48 PM  1000      1953   24.42    0.00    0.00    0.00   24.42     0  java
10:47:49 PM  1000      1953   31.03    0.00    0.00    0.00   31.03     0  java
10:47:50 PM  1000      1953   69.57    0.00    0.00    0.00   69.57     0  java
10:47:51 PM  1000      1953   50.00    1.43    0.00    0.00   51.43     0  java
10:47:52 PM  1000      1953   19.54    0.00    0.00    0.00   19.54     0  java
10:47:53 PM  1000      1953   15.12    0.00    0.00    0.00   15.12     0  java
10:47:54 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:47:55 PM  1000      1953    9.09    0.00    0.00    0.00    9.09     0  java
10:47:56 PM  1000      1953   35.53    2.63    0.00    0.00   38.16     0  java
10:47:57 PM  1000      1953    0.00    1.04    0.00    0.00    1.04     0  java
10:47:58 PM  1000      1953    3.19    0.00    0.00    0.00    3.19     0  java
10:47:59 PM  1000      1953    7.95    3.41    0.00    0.00   11.36     0  java
10:48:00 PM  1000      1953    4.21    0.00    0.00    0.00    4.21     0  java
10:48:01 PM  1000      1953   12.36    0.00    0.00    0.00   12.36     0  java
10:48:02 PM  1000      1953    3.23    1.08    0.00    0.00    4.30     0  java
10:48:03 PM  1000      1953   11.49    1.15    0.00    0.00   12.64     0  java
10:48:04 PM  1000      1953    6.59    3.30    0.00    0.00    9.89     0  java
10:48:05 PM  1000      1953    5.38    2.15    0.00    0.00    7.53     0  java
10:48:06 PM  1000      1953    8.99    1.12    0.00    0.00   10.11     0  java
10:48:07 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:48:08 PM  1000      1953    1.04    0.00    0.00    0.00    1.04     0  java
10:48:09 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:48:10 PM  1000      1953    1.03    0.00    0.00    0.00    1.03     0  java
10:48:11 PM  1000      1953    0.00    1.03    0.00    0.00    1.03     0  java
10:48:12 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:48:13 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:48:14 PM  1000      1953    0.00    0.00    0.00    0.00    0.00     0  java
10:48:15 PM  1000      1953    1.04    0.00    0.00    0.00    1.04     0  java
Average:     1000      1953   11.08    0.64    0.00    0.00   11.72     -  java
