Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

06:57:54 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
06:57:55 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:57:56 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:57:57 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:57:58 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:57:59 PM    dev8-0      2,00      0,00    108,00      0,00     54,00      0,03     16,00      1,20
06:58:00 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:01 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:02 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:03 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:04 PM    dev8-0      2,00      0,00     60,00      0,00     30,00      0,04     18,50      0,80
06:58:05 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:06 PM    dev8-0     62,00      0,00    344,00      0,00      5,55      0,33      7,18      3,20
06:58:07 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:08 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:58:09 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
Average:       dev8-0      4,40      0,00     34,13      0,00      7,76      0,03      7,79      0,35
