Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

07:01:20 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
07:01:21 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:22 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:23 PM    dev8-0     32,00    272,00    108,00      0,00     11,88      0,13      5,09      5,60
07:01:24 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:25 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:26 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:27 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:28 PM    dev8-0      2,00      0,00     48,00      0,00     24,00      0,03     17,50      0,80
07:01:29 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:30 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:31 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:32 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:01:33 PM    dev8-0      1,00      0,00     36,00      0,00     36,00      0,00      1,00      0,40
07:01:34 PM    dev8-0      1,00      0,00      0,00      0,00      0,00      0,04     36,00      0,40
07:01:35 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
Average:       dev8-0      2,40     18,13     12,80      0,00     12,89      0,01      6,53      0,48
