Linux 4.15.0-124-generic (bookstore) 	03/05/2021 	_x86_64_	(1 CPU)

11:04:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:04:41 PM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  java
11:04:42 PM  1000      1719   17.24    1.15    0.00    0.00   18.39     0  java
11:04:43 PM  1000      1719  100.00   25.81    0.00    0.00  100.00     0  java
11:04:44 PM  1000      1719   74.58   18.64    0.00    0.00   93.22     0  java
11:04:45 PM  1000      1719   48.57   14.29    0.00    0.00   62.86     0  java
11:04:46 PM  1000      1719   11.11    1.11    0.00    0.00   12.22     0  java
11:04:47 PM  1000      1719   54.29    4.29    0.00    0.00   58.57     0  java
11:04:48 PM  1000      1719   30.12    0.00    0.00    0.00   30.12     0  java
11:04:49 PM  1000      1719   24.39    8.54    0.00    0.00   32.93     0  java
11:04:50 PM  1000      1719   23.17    9.76    0.00    0.00   32.93     0  java
11:04:51 PM  1000      1719   15.12    1.16    0.00    0.00   16.28     0  java
11:04:52 PM  1000      1719  100.00   16.00    0.00    0.00  100.00     0  java
11:04:53 PM  1000      1719  100.00    0.00    0.00    0.00  100.00     0  java
11:04:54 PM  1000      1719  100.00   16.98    0.00    0.00  100.00     0  java
11:04:55 PM  1000      1719  100.00   25.00    0.00    0.00  100.00     0  java
11:04:56 PM  1000      1719  100.00   11.29    0.00    0.00  100.00     0  java
11:04:57 PM  1000      1719  100.00   22.03    0.00    0.00  100.00     0  java
11:04:58 PM  1000      1719  100.00   10.34    0.00    0.00  100.00     0  java
11:04:59 PM  1000      1719  100.00   11.67    0.00    0.00  100.00     0  java
11:05:00 PM  1000      1719   37.18    6.41    0.00    0.00   43.59     0  java
11:05:01 PM  1000      1719   12.50    5.68    0.00    0.00   18.18     0  java
11:05:02 PM  1000      1719   38.16    0.00    0.00    0.00   38.16     0  java
11:05:03 PM  1000      1719   57.58    4.55    0.00    0.00   62.12     0  java
11:05:04 PM  1000      1719   13.79    6.90    0.00    0.00   20.69     0  java
11:05:05 PM  1000      1719   52.24    5.97    0.00    0.00   58.21     0  java
11:05:06 PM  1000      1719   17.65    5.88    0.00    0.00   23.53     0  java
11:05:07 PM  1000      1719   72.13   14.75    0.00    0.00   86.89     0  java
11:05:08 PM  1000      1719   20.93    2.33    0.00    0.00   23.26     0  java
11:05:09 PM  1000      1719   47.83    2.90    0.00    0.00   50.72     0  java
11:05:10 PM  1000      1719    6.59    1.10    0.00    0.00    7.69     0  java
11:05:11 PM  1000      1719   76.67    8.33    0.00    0.00   85.00     0  java
11:05:12 PM  1000      1719   16.28    2.33    0.00    0.00   18.60     0  java
11:05:13 PM  1000      1719   25.00    0.00    0.00    0.00   25.00     0  java
11:05:14 PM  1000      1719   14.12    2.35    0.00    0.00   16.47     0  java
11:05:15 PM  1000      1719   44.93    4.35    0.00    0.00   49.28     0  java
11:05:16 PM  1000      1719   17.44    3.49    0.00    0.00   20.93     0  java
11:05:17 PM  1000      1719   23.46    2.47    0.00    0.00   25.93     0  java
11:05:19 PM  1000      1719   14.44    0.00    0.00    0.00   14.44     0  java
11:05:20 PM  1000      1719   29.87    2.60    0.00    0.00   32.47     0  java
11:05:21 PM  1000      1719   13.33    0.00    0.00    0.00   13.33     0  java
11:05:22 PM  1000      1719    6.52    0.00    0.00    0.00    6.52     0  java
11:05:23 PM  1000      1719    8.79    1.10    0.00    0.00    9.89     0  java
11:05:24 PM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  java
11:05:25 PM  1000      1719    2.13    1.06    0.00    0.00    3.19     0  java
11:05:26 PM  1000      1719    1.02    0.00    0.00    0.00    1.02     0  java
11:05:27 PM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  java
11:05:28 PM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  java
11:05:29 PM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  java
11:05:30 PM  1000      1719    4.26    0.00    0.00    0.00    4.26     0  java
11:05:31 PM  1000      1719    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1719   36.74    4.55    0.00    0.00   41.29     -  java
