Linux 4.15.0-124-generic (bookstore) 	03/01/2021 	_x86_64_	(1 CPU)

10:54:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:54:20 PM  1000      1679    0.00    0.00    0.00    0.00    0.00     0  java
10:54:21 PM  1000      1679   21.59    0.00    0.00    0.00   21.59     0  java
10:54:22 PM  1000      1679  100.00   41.94    0.00    0.00  100.00     0  java
10:54:23 PM  1000      1679   44.29    2.86    0.00    0.00   47.14     0  java
10:54:24 PM  1000      1679   32.89    7.89    0.00    0.00   40.79     0  java
10:54:25 PM  1000      1679   53.52    7.04    0.00    0.00   60.56     0  java
10:54:26 PM  1000      1679   46.05    6.58    0.00    0.00   52.63     0  java
10:54:27 PM  1000      1679   57.53    2.74    0.00    0.00   60.27     0  java
10:54:28 PM  1000      1679   41.77    2.53    0.00    0.00   44.30     0  java
10:54:29 PM  1000      1679   35.80    4.94    0.00    0.00   40.74     0  java
10:54:30 PM  1000      1679   21.84    1.15    0.00    0.00   22.99     0  java
10:54:31 PM  1000      1679   15.73    2.25    0.00    0.00   17.98     0  java
10:54:32 PM  1000      1679   44.44   13.89    0.00    0.00   58.33     0  java
10:54:33 PM  1000      1679  100.00    7.55    0.00    0.00  100.00     0  java
10:54:34 PM  1000      1679    1.04    0.00    0.00    0.00    1.04     0  java
10:54:35 PM  1000      1679    2.20    1.10    0.00    0.00    3.30     0  java
10:54:36 PM  1000      1679    0.00    0.00    0.00    0.00    0.00     0  java
10:54:37 PM  1000      1679   53.52    2.82    0.00    0.00   56.34     0  java
10:54:38 PM  1000      1679   80.33    1.64    0.00    0.00   81.97     0  java
10:54:39 PM  1000      1679   24.10    0.00    0.00    0.00   24.10     0  java
10:54:40 PM  1000      1679   20.99    4.94    0.00    0.00   25.93     0  java
10:54:41 PM  1000      1679    1.03    0.00    0.00    0.00    1.03     0  java
10:54:42 PM  1000      1679    1.04    2.08    0.00    0.00    3.12     0  java
10:54:43 PM  1000      1679    0.00    0.00    0.00    0.00    0.00     0  java
10:54:44 PM  1000      1679    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1679   29.02    3.29    0.00    0.00   32.30     -  java
