Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:32:34 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:32:35 AM  1000      1959    5.38    1.08    0.00    0.00    6.45     0  java
02:32:36 AM  1000      1959    3.23    0.00    0.00    0.00    3.23     0  java
02:32:37 AM  1000      1959    4.44    1.11    0.00    0.00    5.56     0  java
02:32:38 AM  1000      1959    7.69    0.00    0.00    0.00    7.69     0  java
02:32:39 AM  1000      1959    2.13    1.06    0.00    0.00    3.19     0  java
02:32:40 AM  1000      1959    8.70    1.09    0.00    0.00    9.78     0  java
02:32:41 AM  1000      1959   13.83    0.00    0.00    0.00   13.83     0  java
02:32:42 AM  1000      1959   23.60    0.00    0.00    0.00   23.60     0  java
02:32:43 AM  1000      1959   16.13    2.15    0.00    0.00   18.28     0  java
02:32:44 AM  1000      1959   20.22    0.00    0.00    0.00   20.22     0  java
02:32:45 AM  1000      1959   14.44    4.44    0.00    0.00   18.89     0  java
02:32:46 AM  1000      1959   38.27    1.23    0.00    0.00   39.51     0  java
02:32:47 AM  1000      1959   20.69    1.15    0.00    0.00   21.84     0  java
02:32:48 AM  1000      1959   12.36    2.25    0.00    0.00   14.61     0  java
02:32:49 AM  1000      1959    3.16    1.05    0.00    0.00    4.21     0  java
02:32:50 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:32:51 AM  1000      1959   25.00    1.25    0.00    0.00   26.25     0  java
02:32:52 AM  1000      1959    9.68    2.15    0.00    0.00   11.83     0  java
02:32:53 AM  1000      1959    6.67    1.11    0.00    0.00    7.78     0  java
02:32:54 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:32:55 AM  1000      1959   18.52    1.23    0.00    0.00   19.75     0  java
02:32:56 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:32:57 AM  1000      1959    6.38    1.06    0.00    0.00    7.45     0  java
02:32:58 AM  1000      1959    7.87    1.12    0.00    0.00    8.99     0  java
02:32:59 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:00 AM  1000      1959    3.33    4.44    0.00    0.00    7.78     0  java
02:33:01 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:02 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:03 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:04 AM  1000      1959    4.35    1.09    0.00    0.00    5.43     0  java
02:33:05 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:06 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:33:07 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:08 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:09 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:10 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:33:11 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:12 AM  1000      1959    0.00    1.04    0.00    0.00    1.04     0  java
02:33:13 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:33:14 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1959    6.58    0.75    0.00    0.00    7.33     -  java
