Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:24:18 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:24:19 AM  1000      1959    5.32    2.13    0.00    0.00    7.45     0  java
02:24:20 AM  1000      1959    1.06    0.00    0.00    0.00    1.06     0  java
02:24:21 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:24:22 AM  1000      1959   10.11    1.12    0.00    0.00   11.24     0  java
02:24:23 AM  1000      1959   18.18    0.00    0.00    0.00   18.18     0  java
02:24:24 AM  1000      1959   29.27    2.44    0.00    0.00   31.71     0  java
02:24:25 AM  1000      1959   21.11    3.33    0.00    0.00   24.44     0  java
02:24:26 AM  1000      1959   22.09    4.65    0.00    0.00   26.74     0  java
02:24:27 AM  1000      1959   26.14    0.00    0.00    0.00   26.14     0  java
02:24:28 AM  1000      1959   19.54    4.60    0.00    0.00   24.14     0  java
02:24:29 AM  1000      1959   22.99    2.30    0.00    0.00   25.29     0  java
02:24:30 AM  1000      1959   50.67    1.33    0.00    0.00   52.00     0  java
02:24:31 AM  1000      1959   27.50    3.75    0.00    0.00   31.25     0  java
02:24:32 AM  1000      1959    4.30    0.00    0.00    0.00    4.30     0  java
02:24:33 AM  1000      1959   36.00    0.00    0.00    0.00   36.00     0  java
02:24:34 AM  1000      1959    2.08    0.00    0.00    0.00    2.08     0  java
02:24:35 AM  1000      1959   23.75    5.00    0.00    0.00   28.75     0  java
02:24:36 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:24:37 AM  1000      1959   16.87    1.20    0.00    0.00   18.07     0  java
02:24:38 AM  1000      1959   12.64    0.00    0.00    0.00   12.64     0  java
02:24:39 AM  1000      1959   11.39    0.00    0.00    0.00   11.39     0  java
02:24:40 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:41 AM  1000      1959   11.63    2.33    0.00    0.00   13.95     0  java
02:24:42 AM  1000      1959   11.63    0.00    0.00    0.00   11.63     0  java
02:24:43 AM  1000      1959    2.08    0.00    0.00    0.00    2.08     0  java
02:24:44 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:45 AM  1000      1959    2.11    0.00    0.00    0.00    2.11     0  java
02:24:46 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:47 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:24:48 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:49 AM  1000      1959    0.00    1.03    0.00    0.00    1.03     0  java
02:24:50 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:51 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:52 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:24:53 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:54 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:55 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:56 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:24:57 AM  1000      1959    2.06    0.00    0.00    0.00    2.06     0  java
02:24:58 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1959    9.04    0.82    0.00    0.00    9.86     -  java
