Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:15:34 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:15:35 AM  1000      1959    9.78    1.09    0.00    0.00   10.87     0  java
02:15:36 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:15:37 AM  1000      1959    1.05    1.05    0.00    0.00    2.11     0  java
02:15:38 AM  1000      1959   24.71    0.00    0.00    0.00   24.71     0  java
02:15:39 AM  1000      1959    6.59    0.00    0.00    0.00    6.59     0  java
02:15:40 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:15:41 AM  1000      1959   13.19    0.00    0.00    0.00   13.19     0  java
02:15:42 AM  1000      1959   23.08    0.00    0.00    0.00   23.08     0  java
02:15:43 AM  1000      1959   32.56    0.00    0.00    0.00   32.56     0  java
02:15:44 AM  1000      1959   29.07    0.00    0.00    0.00   29.07     0  java
02:15:45 AM  1000      1959   34.52    0.00    0.00    0.00   34.52     0  java
02:15:46 AM  1000      1959   32.94    0.00    0.00    0.00   32.94     0  java
02:15:47 AM  1000      1959   32.94    0.00    0.00    0.00   32.94     0  java
02:15:48 AM  1000      1959   64.71    0.00    0.00    0.00   64.71     0  java
02:15:49 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:15:50 AM  1000      1959   29.27    0.00    0.00    0.00   29.27     0  java
02:15:51 AM  1000      1959    3.19    0.00    0.00    0.00    3.19     0  java
02:15:52 AM  1000      1959    3.26    0.00    0.00    0.00    3.26     0  java
02:15:53 AM  1000      1959   30.86    0.00    0.00    0.00   30.86     0  java
02:15:54 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:15:55 AM  1000      1959   32.47    0.00    0.00    0.00   32.47     0  java
02:15:56 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:15:57 AM  1000      1959   53.52    0.00    0.00    0.00   53.52     0  java
02:15:58 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:15:59 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:16:00 AM  1000      1959    2.08    0.00    0.00    0.00    2.08     0  java
02:16:01 AM  1000      1959    6.59    0.00    0.00    0.00    6.59     0  java
02:16:02 AM  1000      1959   11.49    0.00    0.00    0.00   11.49     0  java
02:16:03 AM  1000      1959    2.06    0.00    0.00    0.00    2.06     0  java
02:16:04 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:16:05 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:16:06 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:16:07 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:16:08 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:16:09 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:16:10 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:16:11 AM  1000      1959    3.16    0.00    0.00    0.00    3.16     0  java
02:16:12 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:16:13 AM  1000      1959    1.02    0.00    0.00    0.00    1.02     0  java
02:16:14 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1959   11.01    0.05    0.00    0.00   11.07     -  java
