Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:21:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:21:52 AM  1000      1959    7.69    1.10    0.00    0.00    8.79     0  java
02:21:53 AM  1000      1959    2.17    0.00    0.00    0.00    2.17     0  java
02:21:54 AM  1000      1959    0.00    1.04    0.00    0.00    1.04     0  java
02:21:55 AM  1000      1959   10.11    1.12    0.00    0.00   11.24     0  java
02:21:56 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:21:57 AM  1000      1959   15.79    0.00    0.00    0.00   15.79     0  java
02:21:58 AM  1000      1959   17.39    0.00    0.00    0.00   17.39     0  java
02:21:59 AM  1000      1959   27.38    4.76    0.00    0.00   32.14     0  java
02:22:00 AM  1000      1959   32.53    0.00    0.00    0.00   32.53     0  java
02:22:01 AM  1000      1959   15.79    0.00    0.00    0.00   15.79     0  java
02:22:02 AM  1000      1959   30.59    0.00    0.00    0.00   30.59     0  java
02:22:03 AM  1000      1959   38.55    0.00    0.00    0.00   38.55     0  java
02:22:04 AM  1000      1959   18.09    1.06    0.00    0.00   19.15     0  java
02:22:05 AM  1000      1959   34.57    0.00    0.00    0.00   34.57     0  java
02:22:06 AM  1000      1959    4.21    0.00    0.00    0.00    4.21     0  java
02:22:07 AM  1000      1959   13.19    0.00    0.00    0.00   13.19     0  java
02:22:08 AM  1000      1959   21.43    0.00    0.00    0.00   21.43     0  java
02:22:09 AM  1000      1959   18.82    0.00    0.00    0.00   18.82     0  java
02:22:10 AM  1000      1959    3.41    1.14    0.00    0.00    4.55     0  java
02:22:11 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:12 AM  1000      1959    1.16    1.16    0.00    0.00    2.33     0  java
02:22:13 AM  1000      1959   19.05    0.00    0.00    0.00   19.05     0  java
02:22:14 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:15 AM  1000      1959    3.03    0.00    0.00    0.00    3.03     0  java
02:22:16 AM  1000      1959   12.09    1.10    0.00    0.00   13.19     0  java
02:22:17 AM  1000      1959   15.48    1.19    0.00    0.00   16.67     0  java
02:22:18 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:19 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:20 AM  1000      1959    2.08    0.00    0.00    0.00    2.08     0  java
02:22:21 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:22 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:22:23 AM  1000      1959   11.36    1.14    0.00    0.00   12.50     0  java
02:22:24 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:25 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:26 AM  1000      1959    0.00    1.05    0.00    0.00    1.05     0  java
02:22:27 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:28 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:29 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:22:30 AM  1000      1959    1.02    0.00    0.00    0.00    1.02     0  java
02:22:31 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1959    9.00    0.39    0.00    0.00    9.39     -  java
