Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:29:48 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:29:49 AM  1000      1959    7.69    0.00    0.00    0.00    7.69     0  java
02:29:50 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:29:51 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:29:52 AM  1000      1959    7.53    1.08    0.00    0.00    8.60     0  java
02:29:53 AM  1000      1959    2.13    0.00    0.00    0.00    2.13     0  java
02:29:54 AM  1000      1959    1.04    1.04    0.00    0.00    2.08     0  java
02:29:55 AM  1000      1959    1.06    0.00    0.00    0.00    1.06     0  java
02:29:56 AM  1000      1959   14.29    0.00    0.00    0.00   14.29     0  java
02:29:57 AM  1000      1959   13.68    0.00    0.00    0.00   13.68     0  java
02:29:58 AM  1000      1959   26.44    0.00    0.00    0.00   26.44     0  java
02:29:59 AM  1000      1959   29.76    4.76    0.00    0.00   34.52     0  java
02:30:00 AM  1000      1959   17.20    0.00    0.00    0.00   17.20     0  java
02:30:01 AM  1000      1959   27.59    0.00    0.00    0.00   27.59     0  java
02:30:02 AM  1000      1959   27.59    0.00    0.00    0.00   27.59     0  java
02:30:03 AM  1000      1959   31.25    2.50    0.00    0.00   33.75     0  java
02:30:04 AM  1000      1959    0.00    1.05    0.00    0.00    1.05     0  java
02:30:05 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:30:06 AM  1000      1959   19.51    2.44    0.00    0.00   21.95     0  java
02:30:07 AM  1000      1959    6.59    1.10    0.00    0.00    7.69     0  java
02:30:08 AM  1000      1959   25.64    6.41    0.00    0.00   32.05     0  java
02:30:09 AM  1000      1959    7.61    1.09    0.00    0.00    8.70     0  java
02:30:10 AM  1000      1959    4.35    1.09    0.00    0.00    5.43     0  java
02:30:11 AM  1000      1959   16.09    2.30    0.00    0.00   18.39     0  java
02:30:12 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:30:13 AM  1000      1959    2.13    0.00    0.00    0.00    2.13     0  java
02:30:14 AM  1000      1959    7.69    0.00    0.00    0.00    7.69     0  java
02:30:15 AM  1000      1959    1.02    0.00    0.00    0.00    1.02     0  java
02:30:16 AM  1000      1959    9.68    0.00    0.00    0.00    9.68     0  java
02:30:17 AM  1000      1959    6.45    0.00    0.00    0.00    6.45     0  java
02:30:18 AM  1000      1959    8.79    1.10    0.00    0.00    9.89     0  java
02:30:19 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:30:20 AM  1000      1959    4.30    0.00    0.00    0.00    4.30     0  java
02:30:21 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:30:22 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:30:23 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:30:24 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:30:25 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:30:26 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:30:27 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:30:28 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1959    7.82    0.60    0.00    0.00    8.41     -  java
