Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:27:13 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:27:14 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:15 AM  1000      1959   17.24    0.00    0.00    0.00   17.24     0  java
02:27:16 AM  1000      1959    5.49    1.10    0.00    0.00    6.59     0  java
02:27:17 AM  1000      1959    3.19    0.00    0.00    0.00    3.19     0  java
02:27:18 AM  1000      1959   14.44    0.00    0.00    0.00   14.44     0  java
02:27:19 AM  1000      1959   18.18    0.00    0.00    0.00   18.18     0  java
02:27:20 AM  1000      1959   18.48    0.00    0.00    0.00   18.48     0  java
02:27:21 AM  1000      1959   35.37    0.00    0.00    0.00   35.37     0  java
02:27:22 AM  1000      1959   22.47    0.00    0.00    0.00   22.47     0  java
02:27:23 AM  1000      1959   26.14    0.00    0.00    0.00   26.14     0  java
02:27:24 AM  1000      1959   43.75    0.00    0.00    0.00   43.75     0  java
02:27:25 AM  1000      1959   44.74    0.00    0.00    0.00   44.74     0  java
02:27:26 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:27:27 AM  1000      1959   32.47    0.00    0.00    0.00   32.47     0  java
02:27:28 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:29 AM  1000      1959    1.41    0.00    0.00    0.00    1.41     0  java
02:27:30 AM  1000      1959   29.11    0.00    0.00    0.00   29.11     0  java
02:27:31 AM  1000      1959    1.04    0.00    0.00    0.00    1.04     0  java
02:27:32 AM  1000      1959    3.19    0.00    0.00    0.00    3.19     0  java
02:27:33 AM  1000      1959   23.17    0.00    0.00    0.00   23.17     0  java
02:27:34 AM  1000      1959   12.09    0.00    0.00    0.00   12.09     0  java
02:27:35 AM  1000      1959    2.13    0.00    0.00    0.00    2.13     0  java
02:27:36 AM  1000      1959    1.05    0.00    0.00    0.00    1.05     0  java
02:27:37 AM  1000      1959   17.65    0.00    0.00    0.00   17.65     0  java
02:27:38 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:39 AM  1000      1959    4.26    1.06    0.00    0.00    5.32     0  java
02:27:40 AM  1000      1959    7.95    1.14    0.00    0.00    9.09     0  java
02:27:41 AM  1000      1959    2.06    0.00    0.00    0.00    2.06     0  java
02:27:42 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:43 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:44 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:45 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:27:46 AM  1000      1959    0.00    1.03    0.00    0.00    1.03     0  java
02:27:47 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:48 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:49 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:50 AM  1000      1959    1.03    0.00    0.00    0.00    1.03     0  java
02:27:51 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:52 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
02:27:53 AM  1000      1959    0.00    0.00    0.00    0.00    0.00     0  java
Average:     1000      1959    9.03    0.11    0.00    0.00    9.14     -  java
