Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

10:00:20 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
10:00:21 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:22 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:23 PM    dev8-0      1,98      0,00     55,45      0,00     28,00      0,04     20,00      1,19
10:00:24 PM    dev8-0     21,00      0,00    104,00      0,00      4,95      0,00      1,62      0,40
10:00:25 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:26 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:27 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:28 PM    dev8-0      2,00      0,00     28,00      0,00     14,00      0,03     15,50      0,80
10:00:29 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:30 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:31 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:32 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:33 PM    dev8-0      2,00      0,00     24,00      0,00     12,00      0,04     20,50      0,80
10:00:34 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
10:00:35 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
Average:       dev8-0      1,80      0,00     14,12      0,00      7,85      0,01      5,41      0,21
