Linux 4.15.0-124-generic (bookstore) 	01/25/2021 	_x86_64_	(1 CPU)

10:08:13 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:08:14 PM  1000      1729      0.00      0.00 1599500  470868  11.66  java
10:08:15 PM  1000      1729     36.73      0.00 1599500  470868  11.66  java
10:08:16 PM  1000      1729   8153.33      0.00 1603596  479060  11.86  java
10:08:17 PM  1000      1729    325.68      0.00 1605644  479592  11.87  java
10:08:18 PM  1000      1729    148.24      0.00 1605644  480296  11.89  java
10:08:19 PM  1000      1729    162.03      0.00 1605644  480668  11.90  java
10:08:20 PM  1000      1729    381.01      0.00 1607692  481572  11.92  java
10:08:21 PM  1000      1729    352.27      0.00 1607692  482040  11.93  java
10:08:22 PM  1000      1729     96.05      1.32 1607692  483168  11.96  java
10:08:23 PM  1000      1729     43.75      0.00 1607692  483168  11.96  java
10:08:24 PM  1000      1729     45.45      0.00 1607692  483548  11.97  java
10:08:25 PM  1000      1729     43.53      0.00 1607692  483548  11.97  java
10:08:26 PM  1000      1729   2180.49      0.00 1607692  490428  12.14  java
10:08:27 PM  1000      1729    259.38      0.00 1607692  491296  12.16  java
10:08:28 PM  1000      1729    253.57      0.00 1607692  491660  12.17  java
10:08:29 PM  1000      1729     60.00      0.00 1607692  491804  12.18  java
10:08:30 PM  1000      1729    150.70      0.00 1609740  492420  12.19  java
10:08:31 PM  1000      1729    408.16      0.00 1609740  493044  12.21  java
10:08:32 PM  1000      1729     54.55      0.00 1609740  493220  12.21  java
10:08:33 PM  1000      1729      0.00      0.00 1609740  493220  12.21  java
10:08:34 PM  1000      1729      0.00      0.00 1609740  493220  12.21  java
10:08:35 PM  1000      1729      0.00      0.00 1609740  493220  12.21  java
10:08:36 PM  1000      1729      0.00      0.00 1609740  493220  12.21  java

Average:     1000      1729    341.79      0.06 1607158  485876  12.03  java
