Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

01:49:00 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:01 AM  1000      1907     17.58      0.00 1606224  496952  12.30  java
01:49:02 AM  1000      1907      0.00      0.00 1606224  496952  12.30  java
01:49:03 AM  1000      1907      3.26      0.00 1606224  496952  12.30  java
01:49:04 AM  1000      1907     27.16      0.00 1606224  496952  12.30  java
01:49:05 AM  1000      1907      3.30      0.00 1606224  497016  12.30  java
01:49:06 AM  1000      1907      5.49      0.00 1606224  497016  12.30  java
01:49:07 AM  1000      1907      5.68      0.00 1606224  497016  12.30  java
01:49:08 AM  1000      1907      2.08      0.00 1606224  497016  12.30  java
01:49:09 AM  1000      1907      3.37      0.00 1606224  497016  12.30  java
01:49:10 AM  1000      1907     10.23      0.00 1606224  497080  12.31  java
01:49:11 AM  1000      1907      4.55      0.00 1606224  497080  12.31  java
01:49:12 AM  1000      1907    104.00      0.00 1606224  497444  12.31  java
01:49:13 AM  1000      1907      9.68      0.00 1606224  497444  12.31  java
01:49:14 AM  1000      1907     22.37      0.00 1606224  497500  12.32  java
01:49:15 AM  1000      1907     79.71      0.00 1606224  497652  12.32  java
01:49:16 AM  1000      1907      1.11      0.00 1606224  497652  12.32  java
01:49:17 AM  1000      1907     12.22      0.00 1606224  497708  12.32  java
01:49:18 AM  1000      1907      2.17      0.00 1606224  497784  12.32  java
01:49:19 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:20 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:21 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:22 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:23 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:24 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:25 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:26 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:27 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:28 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:29 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
01:49:30 AM  1000      1907      0.00      0.00 1606224  497784  12.32  java
Average:     1000      1907      8.97      0.00 1606224  497455  12.32  java
