Linux 4.15.0-124-generic (bookstore) 	03/01/2021 	_x86_64_	(1 CPU)

10:57:55 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:57:56 PM  1000      1779    586.21      0.00 1589896  457048  11.31  java
10:57:57 PM  1000      1779   8326.32      0.00 1593992  468516  11.60  java
10:57:58 PM  1000      1779    270.00      0.00 1593992  469620  11.63  java
10:57:59 PM  1000      1779    148.86      0.00 1593992  470300  11.64  java
10:58:00 PM  1000      1779    179.27      0.00 1594124  471084  11.66  java
10:58:01 PM  1000      1779    528.38      0.00 1596172  472600  11.70  java
10:58:02 PM  1000      1779    411.11      0.00 1596380  473936  11.73  java
10:58:03 PM  1000      1779    131.71      0.00 1596380  474236  11.74  java
10:58:04 PM  1000      1779    161.73      0.00 1596380  475028  11.76  java
10:58:05 PM  1000      1779   2444.58      0.00 1596380  483116  11.96  java
10:58:06 PM  1000      1779    102.53      0.00 1596380  483388  11.97  java
10:58:07 PM  1000      1779     84.52      0.00 1596380  483596  11.97  java
10:58:08 PM  1000      1779    224.00      1.33 1598428  484364  11.99  java
10:58:09 PM  1000      1779   5524.00      0.00 1599556  485796  12.03  java
10:58:10 PM  1000      1779    132.89      0.00 1599556  486240  12.04  java
10:58:11 PM  1000      1779    235.94      0.00 1599556  486760  12.05  java
10:58:12 PM  1000      1779    420.00      0.00 1599556  487592  12.07  java
10:58:13 PM  1000      1779   1154.55      0.00 1601424  489992  12.13  java
10:58:14 PM  1000      1779      6.52      0.00 1601424  490064  12.13  java
10:58:15 PM  1000      1779      2.13      0.00 1601424  490064  12.13  java
10:58:16 PM  1000      1779      2.06      0.00 1601424  490064  12.13  java
10:58:17 PM  1000      1779      1.04      0.00 1601424  490064  12.13  java
10:58:18 PM  1000      1779      6.32      0.00 1601424  490064  12.13  java
10:58:19 PM  1000      1779      0.00      0.00 1601424  490064  12.13  java
10:58:20 PM  1000      1779      0.00      0.00 1601424  490064  12.13  java
Average:     1000      1779    576.71      0.05 1597940  481346  11.92  java
