Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

09:40:17 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:40:18 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:19 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:20 PM    dev8-0      2,00      0,00     60,00      0,00     30,00      0,00      0,00      0,80
09:40:21 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,04     48,00      0,40
09:40:22 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:23 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:24 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:25 PM    dev8-0      1,00      0,00     32,00      0,00     32,00      0,00      1,00      0,40
09:40:26 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,03     35,00      0,40
09:40:27 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:28 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:29 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:40:30 PM    dev8-0      1,00      0,00     20,00      0,00     20,00      0,00      0,00      0,40
09:40:31 PM    dev8-0      1,00      0,00      4,00      0,00      4,00      0,05     55,00      0,40
09:40:32 PM    dev8-0     27,72      0,00    142,57      0,00      5,14      0,00      1,14      0,79
Average:       dev8-0      2,33      0,00     17,85      0,00      7,66      0,01      4,89      0,24
