Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

11:18:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:18:02 PM  1000      1915      1.09      0.00 1610480  528216  13.08  java
11:18:03 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:04 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:05 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:06 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:07 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:08 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:10 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:11 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:12 PM  1000      1915      2.06      0.00 1610480  528216  13.08  java
11:18:13 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:14 PM  1000      1915      1.19      0.00 1610480  528216  13.08  java
11:18:15 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:16 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:17 PM  1000      1915      1.10      0.00 1610480  528216  13.08  java
11:18:18 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:19 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:20 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:21 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:22 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:23 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:24 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:25 PM  1000      1915      2.99      0.00 1610480  528216  13.08  java
11:18:26 PM  1000      1915     13.64      0.00 1610480  528216  13.08  java
11:18:27 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:28 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:29 PM  1000      1915      4.55      0.00 1610480  528216  13.08  java
11:18:30 PM  1000      1915      1.39      0.00 1610480  528216  13.08  java
11:18:31 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:32 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:33 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:34 PM  1000      1915      1.96      0.00 1610480  528216  13.08  java
11:18:35 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:36 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:37 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:38 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:39 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:40 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:41 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:42 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:43 PM  1000      1915      2.13      0.00 1610480  528216  13.08  java
11:18:44 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:45 PM  1000      1915      1.11      0.00 1610480  528216  13.08  java
11:18:46 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:47 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:48 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:49 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:50 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:51 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:52 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:53 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:54 PM  1000      1915      1.33      0.00 1610480  528216  13.08  java
11:18:55 PM  1000      1915      1.92      0.00 1610480  528216  13.08  java
11:18:56 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:57 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:58 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:18:59 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:00 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:01 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:02 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:03 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:04 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:05 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:06 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:07 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:08 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:09 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:10 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:11 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:12 PM  1000      1915      1.28      0.00 1610480  528216  13.08  java
11:19:13 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:14 PM  1000      1915      4.29      0.00 1610480  528216  13.08  java
11:19:15 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:16 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:17 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:18 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:19 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:20 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:21 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:22 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:23 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:24 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:25 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:26 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:27 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java
11:19:28 PM  1000      1915      0.00      0.00 1610480  528216  13.08  java

Average:     1000      1915      0.43      0.00 1610480  528216  13.08  java
