Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:28:34 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:35 AM  1000      1959      2.15      0.00 1611916  530808  13.14  java
02:28:36 AM  1000      1959      4.17      0.00 1611916  530808  13.14  java
02:28:37 AM  1000      1959      0.00      0.00 1611916  530808  13.14  java
02:28:38 AM  1000      1959      0.00      0.00 1611916  530808  13.14  java
02:28:39 AM  1000      1959      1.09      0.00 1611916  530808  13.14  java
02:28:40 AM  1000      1959      0.00      0.00 1611916  530808  13.14  java
02:28:41 AM  1000      1959      0.00      0.00 1611916  530808  13.14  java
02:28:42 AM  1000      1959      1.05      0.00 1611916  530808  13.14  java
02:28:43 AM  1000      1959     12.50      0.00 1611916  530856  13.14  java
02:28:44 AM  1000      1959      2.20      0.00 1611916  530856  13.14  java
02:28:45 AM  1000      1959      0.00      0.00 1611916  530856  13.14  java
02:28:46 AM  1000      1959      2.22      0.00 1611916  530856  13.14  java
02:28:47 AM  1000      1959      0.00      0.00 1611916  530856  13.14  java
02:28:48 AM  1000      1959      3.30      0.00 1611916  530856  13.14  java
02:28:49 AM  1000      1959      1.06      0.00 1611916  530856  13.14  java
02:28:50 AM  1000      1959      4.26      0.00 1611916  530856  13.14  java
02:28:51 AM  1000      1959   3298.08      0.00 1611916  530936  13.14  java
02:28:52 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:28:53 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:28:54 AM  1000      1959      7.14      0.00 1611916  530936  13.14  java
02:28:55 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:28:56 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:28:57 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:28:58 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:28:59 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:00 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:01 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:02 AM  1000      1959      4.49      0.00 1611916  530936  13.14  java
02:29:03 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:04 AM  1000      1959      2.20      0.00 1611916  530936  13.14  java
02:29:05 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:06 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:07 AM  1000      1959      4.82      0.00 1611916  530936  13.14  java
02:29:08 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:09 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:10 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:11 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:12 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:13 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
02:29:14 AM  1000      1959      0.00      0.00 1611916  530936  13.14  java
Average:     1000      1959     48.38      0.00 1611916  530894  13.14  java
