Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:34:44 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:45 AM  1000      1959    363.95      0.00 1611916  531760  13.16  java
02:34:46 AM  1000      1959      0.00      0.00 1611916  531760  13.16  java
02:34:47 AM  1000      1959      1.14      0.00 1611916  531760  13.16  java
02:34:48 AM  1000      1959      3.26      0.00 1611916  531824  13.17  java
02:34:49 AM  1000      1959     19.54      0.00 1611916  531824  13.17  java
02:34:50 AM  1000      1959      8.89      0.00 1611916  531824  13.17  java
02:34:51 AM  1000      1959      0.00      0.00 1611916  531824  13.17  java
02:34:52 AM  1000      1959      0.00      0.00 1611916  531824  13.17  java
02:34:53 AM  1000      1959      5.68      0.00 1611916  531888  13.17  java
02:34:54 AM  1000      1959     47.76      0.00 1611916  532012  13.17  java
02:34:55 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:34:56 AM  1000      1959      2.35      0.00 1611916  532012  13.17  java
02:34:57 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:34:58 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:34:59 AM  1000      1959      2.27      0.00 1611916  532012  13.17  java
02:35:00 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:01 AM  1000      1959      2.44      0.00 1611916  532012  13.17  java
02:35:02 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:03 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:04 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:05 AM  1000      1959      1.14      0.00 1611916  532012  13.17  java
02:35:06 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:07 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:08 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:09 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:10 AM  1000      1959      5.62      0.00 1611916  532012  13.17  java
02:35:11 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:12 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:13 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:14 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:15 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:16 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:17 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:18 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:19 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:20 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:21 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:22 AM  1000      1959      0.00      0.00 1611916  532012  13.17  java
02:35:23 AM  1000      1959    131.58      0.00 1611916  532116  13.17  java
02:35:24 AM  1000      1959      0.00      0.00 1611916  532116  13.17  java
Average:     1000      1959     14.00      0.00 1611916  531972  13.17  java
