Linux 4.15.0-124-generic (bookstore) 	12/14/2020 	_x86_64_	(1 CPU)

02:32:34 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:35 AM  1000      1959      0.00      0.00 1611916  531444  13.16  java
02:32:36 AM  1000      1959      2.15      0.00 1611916  531444  13.16  java
02:32:37 AM  1000      1959      1.10      0.00 1611916  531444  13.16  java
02:32:38 AM  1000      1959      1.10      0.00 1611916  531444  13.16  java
02:32:39 AM  1000      1959      0.00      0.00 1611916  531444  13.16  java
02:32:40 AM  1000      1959      1.08      0.00 1611916  531444  13.16  java
02:32:41 AM  1000      1959      0.00      0.00 1611916  531444  13.16  java
02:32:42 AM  1000      1959      3.33      0.00 1611916  531444  13.16  java
02:32:43 AM  1000      1959      1.09      0.00 1611916  531444  13.16  java
02:32:44 AM  1000      1959      0.00      0.00 1611916  531444  13.16  java
02:32:45 AM  1000      1959      3.33      0.00 1611916  531444  13.16  java
02:32:46 AM  1000      1959     12.35      0.00 1611916  531528  13.16  java
02:32:47 AM  1000      1959     10.34      0.00 1611916  531756  13.16  java
02:32:48 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:49 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:50 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:51 AM  1000      1959      3.75      0.00 1611916  531756  13.16  java
02:32:52 AM  1000      1959      1.08      0.00 1611916  531756  13.16  java
02:32:53 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:54 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:55 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:56 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:57 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:58 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:32:59 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:00 AM  1000      1959      1.11      0.00 1611916  531756  13.16  java
02:33:01 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:02 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:03 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:04 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:05 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:06 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:07 AM  1000      1959      2.08      0.00 1611916  531756  13.16  java
02:33:08 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:09 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:10 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:11 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:12 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:13 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
02:33:14 AM  1000      1959      0.00      0.00 1611916  531756  13.16  java
Average:     1000      1959      1.02      0.00 1611916  531664  13.16  java
