Linux 4.15.0-122-generic (bookstore) 	10/28/2020 	_x86_64_	(1 CPU)

11:36:13 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:36:14 PM  1000      1453      0.00      0.00 1612672  526708  13.04  java
11:36:15 PM  1000      1453      0.00      0.00 1612672  526708  13.04  java
11:36:16 PM  1000      1453      1.10      0.00 1612672  526708  13.04  java
11:36:17 PM  1000      1453      8.43      0.00 1612672  526764  13.04  java
11:36:18 PM  1000      1453      0.00      0.00 1612672  526764  13.04  java
11:36:19 PM  1000      1453      8.24      0.00 1612672  526764  13.04  java
11:36:20 PM  1000      1453     12.36      0.00 1612672  526840  13.04  java
11:36:21 PM  1000      1453      3.23      0.00 1612672  526840  13.04  java
11:36:22 PM  1000      1453      2.13      0.00 1612672  526840  13.04  java
11:36:23 PM  1000      1453      1.09      0.00 1612672  526840  13.04  java
11:36:24 PM  1000      1453      2.17      0.00 1612672  526840  13.04  java
11:36:25 PM  1000      1453      0.00      0.00 1612672  526840  13.04  java
11:36:26 PM  1000      1453      0.00      0.00 1612672  526840  13.04  java
11:36:27 PM  1000      1453      0.00      0.00 1612672  526840  13.04  java
11:36:28 PM  1000      1453      0.00      0.00 1612672  526840  13.04  java
Average:     1000      1453      2.44      0.00 1612672  526798  13.04  java
