Linux 4.15.0-124-generic (bookstore) 	12/09/2020 	_x86_64_	(1 CPU)

10:33:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:33:02 PM  1000      1807    308.79      0.00 1598828  479860  11.88  java
10:33:03 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:04 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:05 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:06 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:07 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:08 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:09 PM  1000      1807     12.79      0.00 1598828  479860  11.88  java
10:33:10 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:11 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:12 PM  1000      1807      0.00      0.00 1598828  479860  11.88  java
10:33:13 PM  1000      1807      5.43      0.00 1598828  479860  11.88  java
10:33:14 PM  1000      1807     17.78      0.00 1598828  479928  11.88  java
10:33:15 PM  1000      1807      3.30      0.00 1598828  479928  11.88  java
10:33:16 PM  1000      1807      0.00      0.00 1598828  479928  11.88  java
10:33:17 PM  1000      1807     15.85      0.00 1598828  479988  11.88  java
10:33:18 PM  1000      1807      8.99      0.00 1598828  479988  11.88  java
10:33:19 PM  1000      1807      1.12      0.00 1598828  479988  11.88  java
10:33:20 PM  1000      1807      4.30      0.00 1598828  479988  11.88  java
10:33:21 PM  1000      1807      0.00      0.00 1598828  479988  11.88  java
10:33:22 PM  1000      1807      0.00      0.00 1598828  479988  11.88  java
10:33:23 PM  1000      1807      3.66      0.00 1598828  480056  11.88  java
10:33:24 PM  1000      1807      0.00      0.00 1598828  480056  11.88  java
10:33:25 PM  1000      1807      0.00      0.00 1598828  480056  11.88  java
10:33:26 PM  1000      1807      0.00      0.00 1598828  480056  11.88  java
10:33:27 PM  1000      1807      1.11      0.00 1598828  480056  11.88  java
10:33:28 PM  1000      1807      0.00      0.00 1598828  480056  11.88  java
10:33:29 PM  1000      1807      0.00      0.00 1598828  480056  11.88  java
10:33:30 PM  1000      1807      2.35      0.00 1598828  480208  11.89  java
10:33:31 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:32 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:33 PM  1000      1807      4.60      0.00 1598828  480208  11.89  java
10:33:34 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:35 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:36 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:37 PM  1000      1807      1.15      0.00 1598828  480208  11.89  java
10:33:38 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:39 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:40 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:41 PM  1000      1807      0.00      0.00 1598828  480208  11.89  java
10:33:42 PM  1000      1807     15.79      0.00 1598828  480240  11.89  java
10:33:43 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:44 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:45 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:46 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:47 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:48 PM  1000      1807      2.06      0.00 1598828  480240  11.89  java
10:33:49 PM  1000      1807      1.04      0.00 1598828  480240  11.89  java
10:33:50 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:51 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:52 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:53 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:54 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:55 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:56 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:57 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:58 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:33:59 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:34:00 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
10:34:01 PM  1000      1807      0.00      0.00 1598828  480240  11.89  java
Average:     1000      1807      6.60      0.00 1598828  480095  11.89  java
