Linux 5.4.0-42-generic (terumi-pc) 	10/15/2020 	_x86_64_	(8 CPU)

08:24:55 PM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
08:24:56 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:24:57 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:24:58 PM    dev8-0      2,00      0,00     52,00      0,00     26,00      0,04     19,50      0,80
08:24:59 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:00 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:01 PM    dev8-0      3,00      0,00     52,00      0,00     17,33      0,04     15,67      0,80
08:25:02 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:03 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:04 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:05 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:06 PM    dev8-0      3,00      0,00     68,00      0,00     22,67      0,03     11,33      0,80
08:25:07 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:08 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:09 PM    dev8-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:25:10 PM    dev8-0      2,00      0,00      8,00      0,00      4,00      0,00      0,50      0,40
Average:       dev8-0      0,67      0,00     12,00      0,00     18,00      0,01     12,10      0,19
